,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,nemuro,43.3236,145.575,57.47,86,100,25.48,JP,1628631012
1,tilichiki,60.4667,166.1,59.81,54,88,4.14,RU,1628631035
2,mataura,-46.1927,168.8643,43.48,94,27,3.4,NZ,1628631553
3,codrington,-38.2667,141.9667,48.94,81,100,15.79,AU,1628631567
4,santiago del estero,-27.7951,-64.2615,57.81,41,0,5.73,AR,1628631568
5,kohtla-nomme,59.3517,27.175,58.46,79,63,5.12,EE,1628631568
6,hermanus,-34.4187,19.2345,49.89,70,0,2.89,ZA,1628630977
7,nouadhibou,20.931,-17.0347,71.58,73,0,19.57,MR,1628631569
8,bubaque,11.2833,-15.8333,80.46,78,100,10.74,GW,1628631121
9,hualmay,-11.0964,-77.6139,65.05,74,12,12.12,PE,1628631569
10,ushuaia,-54.8,-68.3,38.86,65,40,31.07,AR,1628631542
11,castro,-24.7911,-50.0119,62.78,57,70,3.15,BR,1628631552
12,cape town,-33.9258,18.4232,50.11,93,0,4.61,ZA,1628631513
13,soderhamn,61.3037,17.0592,58.98,87,91,5.41,SE,1628631570
14,solnechnyy,50.7214,136.6319,53.38,82,0,3.22,RU,1628630983
15,ulladulla,-35.35,150.4667,57.87,57,0,8.5,AU,1628631570
16,victoria,22.2855,114.1577,85.32,86,100,4.83,HK,1628631334
17,nuuk,64.1835,-51.7216,52.41,54,90,19.57,GL,1628631571
18,along,28.1667,94.7667,76.06,99,100,1.12,IN,1628631571
19,acapulco,16.8634,-99.8901,85.82,74,40,8.05,MX,1628630897
20,goderich,43.7501,-81.7165,81.91,83,49,12.66,CA,1628631572
21,nizwa,22.9333,57.5333,87.51,43,5,1.9,OM,1628631572
22,port alfred,-33.5906,26.891,55.76,73,0,12.33,ZA,1628631572
23,san joaquin,37.9333,-121.3011,101.28,25,1,8.05,US,1628631573
24,le port,-20.9373,55.2919,68.0,83,12,3.76,RE,1628631573
25,porto novo,6.4965,2.6036,76.82,88,71,7.16,BJ,1628631573
